"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"99",52,0.000962,0.8,326840,0.65,0.231,-9.145,0.0587,141.957,0.096,14
"102",32,0.0111,0.355,293172,0.674,0.0901,-9.093,0.0513,90.954,0.0356,12
"103",35,0.00591,0.644,186240,0.927,0.363,-4.651,0.0508,125.001,0.316,8
"104",40,9.19e-05,0.519,239667,0.818,0.426,-6.218,0.0596,183.975,0.544,30
"108",45,0.000449,0.43,231637,0.812,0.0531,-5.303,0.0669,149.998,0.286,10
"109",32,4.27e-05,0.629,278400,0.914,0.108,-2.577,0.0509,149.991,0.183,10
"115",40,0.258,0.551,293093,0.865,0.282,-8.71,0.164,141.957,0.489,14
"116",36,0.0688,0.517,378840,0.696,0.122,-7.794,0.0521,168.422,0.343,14
"120",28,0.00885,0.897,204016,0.762,0.0824,-4.48,0.0625,126.035,0.43,33
"124",35,0.136,0.792,379600,0.664,0.121,-10.403,0.0638,109.99,0.733,9
"125",31,0.00108,0.678,237000,0.711,0.22,-8.911,0.0568,165.064,0.305,9
"127",37,0.224,0.759,228095,0.794,0.0855,-4.321,0.0817,141.957,0.289,8
"128",32,0.0294,0.86,251009,0.68,0.198,-4.32,0.0829,109.995,0.237,11
"130",39,0.608,0.85,312507,0.74,0.302,-6.327,0.0552,123.451,0.907,50
"132",39,0.128,0.458,164456,0.826,0.343,-7.604,0.166,110.245,0.494,10
"134",39,0.0412,0.527,357107,0.751,0.644,-8.764,0.0361,123.491,0.135,34
"136",45,0.153,0.792,265133,0.549,0.343,-9.855,0.0456,120.013,0.476,14
"137",27,0.000107,0.521,249000,0.881,0.106,-8.812,0.0471,127.061,0.317,8
"139",54,0.132,0.698,368400,0.789,0.366,-4.936,0.163,123.016,0.492,12
"140",56,0.367,0.594,236522,0.815,0.0948,-3.47,0.0423,137.933,0.339,12
"143",35,0.00187,0.774,248571,0.944,0.111,0.072,0.0782,140.063,0.369,9
"145",25,0.115,0.563,200800,0.868,0.108,-4.691,0.0535,117.028,0.535,6
"146",37,0.055,0.651,240009,0.418,0.103,-9.306,0.0352,139.997,0.104,30
"147",43,0.385,0.594,322787,0.481,0.131,-14.483,0.047,109.941,0.585,4
"149",40,0.528,0.7,163613,0.893,0.695,-10.191,0.0649,140.046,0.801,11
"150",52,0.246,0.675,381173,0.496,0.155,-14.236,0.0622,80.958,0.885,5
"151",32,0.00892,0.566,322105,0.879,0.142,-4.461,0.11,76.01,0.295,59
"152",36,0.0564,0.665,360442,0.65,0.0983,-6.782,0.0335,100.014,0.3,40
"153",45,0.0188,0.538,348053,0.742,0.0749,-7.924,0.038,141.957,0.273,7
"154",36,0.0177,0.829,394013,0.263,0.0826,-12.35,0.0377,104.992,0.357,17
"155",38,0.635,0.581,369147,0.374,0.368,-13.496,0.0312,141.957,0.0399,19
"156",46,0.95,0.45,202147,0.278,0.185,-14.318,0.034,108.004,0.0421,11
"157",26,0.00499,0.594,204800,0.871,0.0935,-3.477,0.0421,150.009,0.63,9
"158",37,0.0196,0.728,232500,0.896,0.101,-4.597,0.0579999999999999,128.001,0.269,21
"159",32,0.00694,0.637,175983,0.708,0.344,-7.792,0.0793,99.987,0.733,13
"160",31,0.0197,0.774,243837,0.606,0.161,-6.89,0.182,74.99,0.375,8
"161",28,0.0749,0.592,314561,0.93,0.242,-1.419,0.0606,141.957,0.473,30
"162",27,0.0044399999999999,0.701,331000,0.607,0.0433,-4.514,0.0547,127.979,0.342,54
"166",35,0.00162,0.356,191573,0.917,0.0877,-7.842,0.0811,110.192,0.799,18
"167",38,0.0863,0.771,180004,0.959,0.0536,-2.992,0.0572,139.952,0.663,3
"168",48,2.33e-05,0.416,275200,0.925,0.125,-3.94,0.0763,74.99,0.0971,38
"169",27,0.0206,0.792,192323,0.969,0.644,-3.488,0.139,145.069,0.667,5
"170",67,0.0874,0.525,252280,0.741,0.117,-5.643,0.0311,117.031,0.179,4
