"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"14872",42,0.798,0.578,275226,0.254,0.0814,-14.193,0.0276,66.642,0.18,9
"14873",39,0.732,0.624,277267,0.354,0.0858,-9.762,0.0725,172.97,0.709,7
"14874",42,0.132,0.914,218294,0.711,0.129,-6.583,0.146,102.954,0.777,21
"14875",34,0.831,0.576,364560,0.495,0.0836,-7.83,0.0433,130.97,0.502,21
"14877",41,0.409,0.689,390360,0.184,0.0652,-16.985,0.0357,100.806,0.295,5
"14878",33,0.465,0.869,258933,0.565,0.0747,-7.153,0.0332,104.019,0.515,17
"14879",4,0.72,0.777,105953,0.0513,0.108,-15.671,0.169,80.147,0.548,6
"14880",36,0.682,0.589,295093,0.491,0.282,-8.879,0.0339,141.957,0.669,9
"14881",31,0.662,0.618,280040,0.442,0.325,-7.016,0.0306,83.39,0.268,28
"14882",44,0.522,0.893,230461,0.408,0.0985,-10.144,0.0515,84.131,0.55,5
"14885",45,0.59,0.539,240707,0.686,0.278,-5.709,0.0559999999999999,147.85,0.438,10
"14886",37,0.0581,0.687,279246,0.846,0.169,-6.72,0.0701,109.056,0.434,12
"14888",40,0.128,0.368,239999,0.795,0.176,-9.116,0.0616,179.994,0.212,6
"14889",45,0.61,0.667,326519,0.758,0.968,-11.824,0.0384,99.161,0.667,60
"14890",42,0.24,0.55,289411,0.593,0.0555,-10.846,0.0392,175.045,0.506,21
"14891",62,0.914,0.753,240160,0.2,0.111,-22.67,0.153,83.864,0.426,3
"14892",41,0.959,0.588,375067,0.234,0.103,-8.709,0.0334,69.11,0.251,48
"14893",49,0.142,0.589,226480,0.681,0.794,-8.833,0.0454,90.373,0.823,16
"14894",49,0.647,0.552,199227,0.365,0.246,-8.907,0.0376,94.852,0.538,24
"14895",47,0.601,0.671,181067,0.658,0.055,-9.203,0.0336,89.698,0.961,13
"14896",44,0.372,0.348,351387,0.412,0.692,-12.555,0.0615,131.174,0.182,23
"14897",35,0.912,0.425,364600,0.12,0.359,-13.499,0.039,106.381,0.2,9
"14898",32,0.0115,0.535,260947,0.505,0.257,-5.604,0.0279,131.715,0.0701,15
"14899",55,0.273,0.577,235269,0.576,0.307,-8.87,0.119,96.105,0.794,5
"14902",56,0.283,0.683,300693,0.673,0.152,-9.593,0.0365,172.092,0.81,12
"14905",38,0.172,0.781,249407,0.646,0.0906,-4.978,0.0787,99.973,0.518,13
"14906",40,0.496,0.612,333467,0.636,0.168,-13.848,0.0324,104.004,0.269,11
"14907",37,0.753,0.788,344267,0.711,0.322,-4.871,0.0384,92.023,0.876,13
"14908",52,0.754,0.713,314400,0.331,0.0968,-14.662,0.055,77.016,0.44,15
"14909",63,0.63,0.638,73333,0.482,0.273,-14.656,0.0975,120.099,0.229,5
"14910",34,0.403,0.539,298453,0.843,0.0572,-7.074,0.0426,112.092,0.891,12
"14911",31,0.762,0.562,176733,0.231,0.152,-13.493,0.0395,98.318,0.488,8
"14912",29,0.267,0.736,243147,0.835,0.143,-5.795,0.0649,100.022,0.848,7
"14913",38,0.117,0.703,309440,0.494,0.557,-14.789,0.0535,141.957,0.676,22
"14914",38,9.85e-05,0.235,342587,0.947,0.201,-4.822,0.12,187.05,0.113,14
"14916",52,0.68,0.812,301373,0.679,0.314,-6.008,0.0559,90.474,0.852,17
"14917",40,0.378,0.927,195200,0.418,0.117,-5.181,0.0454,101.032,0.921,10
"14918",39,0.48,0.43,402000,0.359,0.157,-11.961,0.0352,162.24,0.218,7
"14919",52,0.0183,0.767,314493,0.624,0.0674,-7.496,0.0543,120.003,0.218,11
"14920",32,0.441,0.398,192267,0.511,0.11,-10.203,0.0419,166.564,0.436,16
"14921",47,0.102,0.628,328560,0.649,0.131,-8.672,0.0452,109.009,0.119,10
"14922",46,0.18,0.767,270374,0.471,0.0797,-10.892,0.0328,109.983,0.539,15
"14923",38,0.9,0.765,162933,0.299,0.0622,-11.11,0.057,154.814,0.837,37
"14924",41,0.664,0.555,351547,0.557,0.0677,-9.28,0.0365,92.142,0.701,4
"14925",53,0.81,0.252,180200,0.231,0.199,-14.181,0.0369,89.859,0.196,12
"14926",34,0.365,0.76,265133,0.509,0.0396,-8.934,0.0382,98.989,0.826,12
"14928",37,0.334,0.545,387378,0.795,0.0778,-5.75,0.0799,104.437,0.495,15
"14930",42,0.96,0.719,76235,0.0908,0.112,-21.843,0.0507,84.944,0.585,12
"14931",37,0.0491,0.708,300093,0.933,0.0944,-5.286,0.0507,176.246,0.933,13
"14932",43,0.86,0.431,243920,0.0843,0.111,-20.055,0.0336,141.957,0.0838,13
"14933",37,0.766,0.622,116067,0.237,0.0714,-16.033,0.0516,87.976,0.715,22
"14934",43,0.867,0.383,171514,0.0624,0.102,-13.606,0.0398,98.52,0.337,16
"14935",41,0.789,0.286,305559,0.0977,0.101,-20.707,0.0366,141.957,0.0355,7
"14936",47,0.631,0.54,141760,0.41,0.142,-11.914,0.0384,138.511,0.453,19
"14937",52,0.434,0.844,281627,0.572,0.54,-7.85,0.0866,106.005,0.754,9
"14938",38,0.525,0.708,255973,0.323,0.0861,-17.867,0.0329,114.783,0.57,37
"14939",33,0.869,0.196,161920,0.272,0.104,-10.619,0.0319,84.783,0.0936,38
"14940",52,0.00844,0.879,186545,0.849,0.0689,-6.115,0.182,120.995,0.732,33
"14941",50,0.00935,0.528,336689,0.813,0.0866,-6.927,0.0464,88.532,0.362,10
"14943",46,0.571,0.471,292253,0.373,0.134,-11.487,0.172,160.286,0.674,46
"14944",39,0.848,0.668,209160,0.238,0.0859,-17.534,0.0429,141.957,0.516,13
"14945",31,0.223,0.637,224587,0.831,0.114,-6.372,0.0298,90.008,0.533,14
"14947",34,0.407,0.489,366973,0.828,0.124,-7.114,0.0759,91.511,0.331,12
"14948",39,0.825,0.565,145600,0.383,0.127,-6.927,0.0349,141.653,0.614,34
"14951",49,0.551,0.905,211787,0.721,0.111,-5.508,0.123,125.001,0.829,18
"14952",51,0.0128,0.922,245947,0.701,0.0941,-6.679,0.0868,101.996,0.54,9
"14954",42,0.0106,0.69,258413,0.794,0.0667,-4.373,0.0342,95.978,0.785,12
"14955",34,0.488,0.814,217800,0.693,0.108,-7.179,0.036,125.006,0.773,12
"14956",28,0.00112,0.609,245093,0.905,0.0697,-6.79,0.0357,141.957,0.197,16
"14957",34,0.329,0.708,322307,0.477,0.0631,-11.035,0.0381,151.961,0.649,11
"14958",41,0.0333,0.579,180268,0.937,0.473,-2.545,0.086,127.947,0.413,10
"14959",36,0.749,0.561,331853,0.226,0.0944,-14.393,0.0462,117.226,0.186,10
"14960",37,0.698,0.452,283040,0.242,0.0942,-16.941,0.0344,101.194,0.347,7
"14961",39,0.959,0.328,167533,0.154,0.132,-17.153,0.0335,81.647,0.203,18
"14962",38,0.83,0.532,254693,0.254,0.088,-14.43,0.0381,91.152,0.201,16
"14963",45,0.321,0.523,247733,0.351,0.181,-8.54,0.0346,130.881,0.286,21
"14964",38,0.299,0.562,243067,0.662,0.0859,-7.846,0.11,173.389,0.492,14
"14965",37,0.692,0.464,315539,0.572,0.392,-8.594,0.0673,112.136,0.578,5
"14966",38,0.277,0.671,256744,0.376,0.0948,-10.028,0.0547,172.048,0.421,13
"14967",38,0.0925,0.738,241160,0.629,0.34,-8.026,0.0315,101.912,0.807,20
"14969",43,0.866,0.638,189240,0.328,0.158,-13.44,0.0379,107.543,0.728,21
"14970",38,0.986,0.311,226733,0.0287,0.0823,-26.602,0.0339,68.043,0.0395,13
"14972",50,0.0184,0.587,313263,0.447,0.137,-13.289,0.0252,95.007,0.16,7
"14973",50,5.26e-05,0.325,247839,0.834,0.112,-5.015,0.0411,78.198,0.511,15
"14975",38,0.0797,0.785,238050,0.698,0.134,-7.248,0.0607,141.957,0.943,42
"14976",30,0.446,0.525,368000,0.61,0.847,-13.905,0.0663,175.014,0.171,5
"14978",37,0.408,0.532,350333,0.553,0.323,-9.584,0.0423,141.957,0.844,10
"14979",42,0.0124,0.743,294347,0.675,0.112,-5.692,0.0243,96.971,0.769,9
"14980",58,0.969,0.533,188716,0.215,0.115,-13.577,0.0313,126.765,0.172,15
"14981",58,0.364,0.459,407373,0.583,0.128,-7.181,0.0294,98.405,0.583,17
"14982",40,0.0173,0.712,221269,0.64,0.104,-6.919,0.0564,90.102,0.439,10
"14983",43,0.0234,0.837,237520,0.472,0.108,-11.45,0.0733,141.957,0.369,12
"14985",38,0.424,0.825,201600,0.862,0.285,-2.072,0.0575,103.492,0.965,18
"14986",42,0.969,0.503,206126,0.0461,0.11,-20.686,0.0347,62.445,0.363,15
"14987",32,0.428,0.736,280163,0.305,0.0944,-14.277,0.0272,90.55,0.663,8
"14988",43,0.104,0.531,271199,0.863,0.274,-4.815,0.121,86.503,0.403,36
"14989",37,0.471,0.581,219320,0.471,0.0806,-11.08,0.0331,105.014,0.696,4
"14990",41,0.784,0.671,400427,0.439,0.13,-11.181,0.0408,112.208,0.7,10
"14991",50,0.134,0.415,350533,0.463,0.101,-9.86,0.0823,96.1,0.573,23
"14992",53,0.939,0.537,198800,0.266,0.12,-11.792,0.0327,129.785,0.243,11
"14993",32,0.00359,0.654,255319,0.71,0.101,-10.315,0.0421,97.026,0.695,40
"14994",39,0.68,0.741,279453,0.404,0.299,-15.069,0.0974,96.707,0.804,38
"14995",43,0.427,0.542,172333,0.675,0.116,-13.456,0.0331,141.957,0.597,9
"14996",36,0.977,0.437,177133,0.139,0.0873,-9.796,0.0352,75.979,0.178,24
"14997",39,0.0642,0.752,271240,0.751,0.278,-6.281,0.043,106.8,0.963,13
"14999",58,0.99,0.326,168667,0.0575,0.281,-16.5,0.0393,141.957,0.301,13
"15001",42,0.742,0.671,170347,0.438,0.0601,-9.15,0.0651,123.395,0.801,7
"15002",55,0.88,0.188,224227,0.307,0.307,-12.212,0.0305,89.107,0.165,10
"15003",61,0.94,0.497,227953,0.206,0.104,-12.637,0.031,81.63,0.181,14
"15004",42,0.0798,0.53,220560,0.478,0.121,-12.703,0.0343,85.702,0.117,5
"15005",37,0.384,0.678,297320,0.402,0.164,-10.566,0.0667,171.985,0.544,20
"15007",47,0.299,0.733,221787,0.444,0.104,-7.17,0.115,89.106,0.372,7
"15008",44,0.297,0.666,262560,0.74,0.145,-5.908,0.0375,124.911,0.62,18
"15009",50,0.0236,0.561,191947,0.764,0.209,-5.175,0.0422,90.004,0.657,13
"15010",44,0.00972,0.652,226333,0.813,0.29,-4.737,0.0409999999999999,124,0.56,13
"15011",42,0.0029,0.464,273333,0.712,0.0693,-5.703,0.0391,163.92,0.651,10
"15012",52,0.000309,0.403,230096,0.834,0.221,-3.453,0.0423,187.949,0.645,15
"15013",51,0.00187,0.59,170427,0.823,0.375,-4.606,0.0394,129.969,0.571,9
"15014",49,0.651,0.507,101813,0.418,0.126,-8.659,0.167,84.902,0.24,4
"15015",44,0.359,0.536,188640,0.602,0.14,-6.012,0.024,80.978,0.533,10
"15016",55,0.00677,0.373,233293,0.939,0.137,-3.153,0.0603,176.022,0.429,10
"15018",48,0.448,0.54,210413,0.497,0.111,-11.965,0.0408,100.992,0.29,25
"15019",39,0.000249,0.561,148107,0.929,0.0588,-3.201,0.128,133.129,0.472,16
"15021",40,0.0639,0.674,237709,0.883,0.55,-5.441,0.0513,108.023,0.862,4
"15022",64,0.0117,0.612,258640,0.507,0.112,-7.872,0.0283,95.018,0.352,21
"15023",57,0.0213,0.512,224840,0.768,0.0918,-4.673,0.045,126.907,0.322,12
"15024",50,0.649,0.556,198040,0.393,0.292,-10.427,0.0319,98.226,0.604,20
"15026",54,0.0139999999999999,0.696,203880,0.821,0.0421,-2.981,0.0483,127.006,0.604,14
"15029",53,0.000642,0.614,175907,0.721,0.167,-8.962,0.0322,146.629,0.708,16
"15030",45,0.000367,0.328,336893,0.982,0.38,-2.722,0.126,155.355,0.67,21
"15031",42,8.12e-05,0.33,209027,0.897,0.246,-4.23,0.0574,129.027,0.572,6
"15032",46,0.00952,0.655,214679,0.466,0.0751,-8.758,0.0511,150.968,0.638,12
"15034",55,0.741,0.695,268307,0.452,0.164,-8.143,0.0424,95.011,0.424,7
"15035",52,0.0018,0.453,175680,0.914,0.349,-3.445,0.0825,129.841,0.504,34
"15036",48,2.28e-05,0.507,213087,0.99,0.347,-3.517,0.121,135.053,0.28,5
"15037",55,0.00109,0.531,208693,0.836,0.0447,-5.204,0.101,169.171,0.637,4
"15038",57,0.00297,0.18,201093,0.798,0.22,-4.149,0.0429,141.957,0.134,14
"15039",57,0.00889,0.377,141000,0.506,0.482,-4.773,0.157,145.254,0.787,16
"15040",52,0.0114,0.843,310480,0.433,0.123,-8.139,0.0676,141.957,0.161,30
"15041",48,0.0821,0.793,166049,0.561,0.0659,-7.957,0.0303,115.035,0.652,15
"15042",45,0.00108,0.397,207693,0.983,0.219,-4.45,0.0557,110.575,0.616,23
"15043",50,3.89e-05,0.485,209008,0.985,0.171,-3.455,0.0705,140.031,0.562,19
"15044",44,0.00526,0.344,233267,0.69,0.0939,-5.465,0.0375,166.013,0.256,16
"15045",52,0.0124,0.563,191240,0.98,0.324,-2.834,0.128,122.976,0.619,27
"15046",50,0.0016,0.451,195733,0.935,0.42,-2.09,0.076,128.918,0.39,9
"15047",49,0.562,0.539,271935,0.404,0.0887,-13.447,0.0295,124.099,0.0387,7
"15048",49,0.0325,0.494,236827,0.918,0.152,-5.092,0.13,159.632,0.618,16
"15049",44,0.0431,0.48,221392,0.84,0.0745,-7.117,0.0657,98.933,0.451,8
"15050",42,0.185,0.704,317092,0.927,0.325,-7.157,0.0436,114.994,0.342,20
"15051",39,0.02,0.476,213133,0.906,0.138,-7.026,0.0615,175.96,0.575,6
"15052",48,0.00335,0.526,197551,0.589,0.338,-6.399,0.0374,141.957,0.345,11
"15053",55,0.292,0.704,129796,0.663,0.225,-10.33,0.0382,98.009,0.56,9
"15054",53,0.0109,0.364,185440,0.852,0.136,-4.448,0.0665,155.653,0.176,7
"15055",49,0.00818,0.579,226137,0.61,0.112,-7.867,0.0294,127.022,0.381,14
"15056",47,0.645,0.582,157973,0.365,0.147,-11.04,0.0388,93.855,0.312,17
"15058",54,0.0074099999999999,0.508,270640,0.823,0.104,-3.711,0.031,95.98,0.152,11
"15059",50,0.868,0.561,224698,0.282,0.11,-13.241,0.0286,112.011,0.158,18
"15061",46,8.52e-05,0.513,210293,0.978,0.174,-2.811,0.0744,108.955,0.545,7
"15062",50,0.0376,0.609,186373,0.807,0.13,-5.405,0.0283,125.906,0.203,10
"15063",54,0.196,0.454,256773,0.419,0.197,-5.678,0.0255,146.711,0.238,5
"15064",52,0.0121,0.49,232133,0.746,0.0624,-4.951,0.0405,81.848,0.331,11
"15065",50,0.000159,0.503,255133,0.919,0.0482,-5.292,0.0728,100.845,0.0855,4
"15066",50,0.0829,0.863,272587,0.916,0.566,-4.523,0.137,141.957,0.964,10
"15068",49,7.48e-05,0.668,251533,0.788,0.0792,-6.752,0.0424,137.38,0.692,33
"15069",46,0.00434,0.662,251973,0.577,0.215,-5.259,0.0513,117.007,0.362,35
"15070",52,0.000614,0.411,322613,0.768,0.134,-4.21,0.0562,134.408,0.672,15
"15071",44,0.0138,0.515,230733,0.928,0.107,-6.392,0.0694,141.957,0.389,9
"15072",53,0.00603,0.622,264000,0.873,0.131,-4.255,0.0366,111.984,0.434,11
"15073",53,0.57,0.606,214427,0.636,0.0944,-4.559,0.0278,141.957,0.452,16
"15074",46,7.34e-06,0.311,351360,0.959,0.287,-5.939,0.106,134.425,0.324,17
"15075",61,0.0133,0.546,255400,0.878,0.135,-5.137,0.0525,119.945,0.35,11
"15076",46,0.0681,0.704,220627,0.683,0.166,-4.536,0.0412,93.959,0.71,14
"15077",53,0.0858,0.529,283800,0.448,0.0511,-18.567,0.155,85.536,0.583,9
"15078",50,0.494,0.682,175947,0.547,0.11,-11.816,0.04,133.577,0.774,21
"15079",49,0.784,0.546,273840,0.291,0.0894,-12.252,0.138,169.96,0.363,18
"15080",44,1.57e-06,0.129,254120,0.951,0.0854,-4.922,0.117,76.343,0.203,13
"15082",48,0.132,0.43,351876,0.639,0.196,-8.125,0.0401,151.437,0.171,6
"15086",76,0.211,0.581,272507,0.817,0.246,-6.542,0.0382,141.607,0.779,9
"15088",55,0.00582,0.289,208134,0.841,0.267,-4.33,0.146,183.17,0.399,19
"15090",56,0.489,0.781,201507,0.587,0.1,-8.057,0.187,86.963,0.843,6
"15092",45,0.285,0.369,355000,0.689,0.13,-5.893,0.088,141.957,0.401,14
"15094",57,0.0908,0.725,287013,0.529,0.174,-5.565,0.0375,144.707,0.6,6
"15095",52,0.0253,0.358,210787,0.856,0.233,-2.934,0.0471,169.81,0.542,14
"15097",56,0.135,0.692,213320,0.968,0.062,-3.252,0.0364,111.906,0.901,12
"15099",56,0.00591,0.152,317440,0.795,0.273,-6.408,0.0714,75.02,0.162,11
"15101",51,5.37e-05,0.172,343307,0.904,0.267,-4.831,0.0586,135.149,0.302,5
"15102",56,0.0647,0.282,288333,0.738,0.29,-5.566,0.0324,126.914,0.211,25
"15103",58,0.112,0.649,194200,0.985,0.214,-8.016,0.0413,107.825,0.496,7
"15105",54,3.51e-05,0.482,235160,0.916,0.0474,-4.557,0.0473,96.101,0.385,19
"15106",44,0.239,0.589,328613,0.703,0.0701,-5.489,0.0313,80.121,0.499,20
"15107",43,0.00951,0.342,242107,0.45,0.146,-8.665,0.0315,152.308,0.115,8
"15108",46,0.000225,0.632,274613,0.7,0.395,-5.732,0.0349,172.02,0.686,10
"15109",41,0.00389,0.344,179733,0.842,0.285,-5.871,0.0602,159.732,0.425,8
"15111",31,0.0118,0.581,383653,0.883,0.901,-6.512,0.0274,122.012,0.538,30
"15112",46,0.000819,0.581,177145,0.917,0.566,-3.321,0.0467,109.031,0.666,20
"15115",46,0.0008849999999999,0.506,293693,0.81,0.0892,-8.865,0.0473,99.313,0.728,10
"15116",51,0.242,0.696,268587,0.484,0.375,-10.555,0.0557,136.091,0.517,44
"15117",46,0.000762,0.209,318321,0.841,0.0998,-4.579,0.0621,163.712,0.396,25
"15118",50,0.688,0.797,197938,0.365,0.102,-9.219,0.0738,96.973,0.586,8
"15120",72,0.0678,0.588,260173,0.521,0.123,-9.461,0.0329,85.012,0.337,12
"15121",45,0.00161,0.409,208480,0.886,0.326,-4.531,0.0506,172.005,0.365,8
"15122",44,0.471,0.532,312333,0.421,0.113,-8.828,0.0289,141.957,0.504,17
"15123",49,0.101,0.61,195067,0.82,0.212,-5.035,0.0332,152.091,0.773,15
"15124",39,0.000537,0.495,212613,0.895,0.238,-3.881,0.0331,141.957,0.611,8
"15125",51,4.34e-06,0.468,193427,0.863,0.33,-7.037,0.0493,140.267,0.377,15
"15126",49,0.174,0.247,256080,0.419,0.222,-10.195,0.0313,81.202,0.273,11
"15127",44,0.0436,0.725,208784,0.936,0.771,-5.323,0.0626,105.029,0.25,11
"15128",49,0.321,0.676,193908,0.561,0.321,-7.066,0.0807,130.129,0.475,8
"15130",63,0.0099,0.788,261703,0.601,0.105,-6.673,0.0413,139.926,0.242,12
"15131",55,0.00122,0.587,203119,0.879,0.125,-5.887,0.0547,108.905,0.395,15
"15135",42,0.00206,0.426,211627,0.956,0.327,-3.855,0.0781,146.92,0.328,12
"15136",46,0.136,0.43,218533,0.883,0.0967,-3.342,0.0384,154.094,0.39,8
"15137",56,0.000275,0.302,188853,0.974,0.0838,-2.834,0.147,76.867,0.332,33
"15139",57,0.011,0.37,297640,0.653,0.115,-6.819,0.0263,164.152,0.346,24
"15140",44,0.00823,0.475,171360,0.591,0.0949,-5.453,0.0289,141.957,0.233,10
"15142",43,0.015,0.596,188067,0.925,0.38,-3.381,0.0731,166.759,0.798,12
"15143",57,0.00114,0.598,244693,0.939,0.288,-3.663,0.105,95.884,0.63,27
"15144",52,0.0604,0.611,148047,0.738,0.062,-5.949,0.0608,131.991,0.747,11
"15145",58,0.000193,0.447,228280,0.935,0.0865,-4.23,0.0906,140.03,0.289,10
"15149",47,0.0122,0.576,309667,0.967,0.26,-3.733,0.093,146.04,0.517,10
"15150",52,0.0148,0.445,210493,0.914,0.208,-3.844,0.142,184.139,0.663,15
"15151",44,0.0298,0.758,208855,0.665,0.0766,-4.763,0.0619,130.967,0.585,14
"15152",43,0.277,0.605,194747,0.674,0.109,-7.434,0.0409999999999999,154.954,0.55,7
"15154",52,0.838,0.641,238360,0.398,0.539,-12.237,0.054,145.043,0.461,32
"15155",49,0.00831,0.601,186000,0.715,0.47,-4.843,0.0362,94.976,0.606,11
"15156",46,0.000971,0.574,310080,0.862,0.0923,-6.449,0.06,122.98,0.594,30
"15157",43,0.746,0.436,311840,0.288,0.098,-10.726,0.0315,117.482,0.268,10
"15158",45,0.0243,0.629,157240,0.889,0.0984,-3.573,0.0984,125.144,0.702,10
"15159",60,0.5,0.58,176688,0.636,0.279,-7.661,0.11,104.853,0.253,32
"15160",50,0.0248,0.574,182320,0.701,0.313,-6.038,0.0572,145.069,0.25,30
"15162",44,0.00769,0.611,200387,0.853,0.165,-3.553,0.0306,129.033,0.343,17
"15163",45,0.165,0.569,171133,0.715,0.0587,-4.083,0.062,141.957,0.586,12
"15164",57,0.409,0.823,257547,0.411,0.649,-7.061,0.0557,90.997,0.397,19
"15165",59,0.426,0.702,236973,0.901,0.0368,-4.45,0.0264,97.862,0.919,10
"15167",64,0.223,0.619,231800,0.896,0.101,-4.233,0.0315,136.648,0.952,17
"15170",56,0.0446,0.224,254400,0.782,0.0822,-7.065,0.04,81.794,0.267,11
"15172",51,0.0261,0.204,254984,0.921,0.0769,-6.888,0.0543,172.525,0.686,19
"15174",66,0.0279999999999999,0.705,191800,0.735,0.112,-6.646,0.0931,132.627,0.448,15
"15176",47,3.52e-05,0.48,168560,0.94,0.0827,-2.703,0.0798,173.543,0.733,8
"15177",46,0.000361,0.462,201960,0.816,0.111,-4.709,0.038,117.946,0.152,3
"15179",44,3.7e-05,0.456,211747,0.981,0.096,-2.883,0.0864,163.933,0.448,17
"15180",11,0.0093099999999999,0.355,168933,0.762,0.0828,-6.784,0.0413,141.957,0.391,8
"15181",52,5.07e-05,0.467,198358,0.965,0.134,-3.11,0.0598,154.899,0.477,21
"15182",63,0.513,0.419,233960,0.473,0.133,-8.192,0.0288,138.013,0.324,33
"15184",51,0.819,0.72,198367,0.567,0.147,-6.723,0.0619,97.939,0.645,18
"15185",48,9.2e-05,0.506,234987,0.963,0.147,-3.805,0.0709,124.462,0.352,8
"15186",52,4.39e-05,0.4,159253,0.991,0.28,-2.043,0.152,129.522,0.452,10
"15188",41,0.0274,0.837,220840,0.79,0.0569,-6.717,0.0933,100.293,0.782,7
"15191",40,6.63e-05,0.342,218800,0.975,0.696,-4.448,0.141,166.022,0.299,39
"15192",44,0.0224,0.624,303067,0.817,0.0998,-4.611,0.0257,96.021,0.605,10
"15194",54,0.022,0.694,198987,0.798,0.0573,-4.272,0.147,155.999,0.97,6
"15199",47,0.0814,0.245,235067,0.715,0.341,-6.192,0.0372,75.028,0.367,12
"15200",48,0.83,0.419,118525,0.302,0.273,-7.347,0.0282,90.151,0.358,16
"15201",50,0.0716,0.596,202680,0.892,0.0797,-4.484,0.0297,126.068,0.938,7
"15202",50,0.00835,0.519,201079,0.923,0.147,-4.43,0.0596,100.088,0.555,17
"15204",49,0.000449,0.543,195307,0.919,0.243,-4.831,0.0415,141.957,0.498,12
"15205",48,0.0853,0.25,232560,0.453,0.087,-6.591,0.0337,76.554,0.106,6
"15206",59,0.00216,0.427,200480,0.843,0.179,-4.54,0.0364,147.387,0.304,24
"15207",39,0.339,0.419,203099,0.778,0.334,-4.274,0.0416,168.448,0.585,6
"15209",43,0.24,0.541,212973,0.758,0.118,-4.212,0.0333,141.905,0.345,23
"15210",56,0.00106,0.582,200493,0.765,0.344,-6.544,0.0376,128.164,0.528,7
"15211",44,2.77e-05,0.47,325787,0.845,0.0678,-5.642,0.0286,160.018,0.371,9
"15212",40,0.0001409999999999,0.514,280900,0.963,0.111,-6.267,0.0805,150.002,0.641,18
"15214",41,0.0195,0.649,289293,0.796,0.124,-5.003,0.0617,104.053,0.68,17
"15215",52,0.00716,0.704,235853,0.748,0.112,-9.55,0.0283,129.981,0.689,13
"15217",49,0.168,0.789,356493,0.258,0.326,-11.759,0.104,127.491,0.335,10
"15218",49,0.437,0.415,313640,0.527,0.106,-8.8,0.0332,200.008,0.33,16
"15219",46,0.123,0.515,232173,0.898,0.199,-6.682,0.0291,113.983,0.778,5
"15221",51,0.777,0.427,215360,0.396,0.102,-7.725,0.0304,133.131,0.369,23
"15222",61,0.000248,0.376,200907,0.967,0.0575,-3.277,0.166,91.582,0.226,14
"15223",46,0.00252,0.386,200067,0.767,0.482,-3.506,0.0378,160.825,0.195,13
"15224",42,0.0103,0.553,283027,0.901,0.0571,-6.202,0.0454,106.943,0.617,5
"15225",43,0.0367,0.628,220747,0.739,0.122,-7.312,0.0988,131.955,0.352,9
"15226",47,0.0448,0.752,217565,0.638,0.114,-9.574,0.0967,115.007,0.742,5
"15227",53,0.0546,0.587,291400,0.874,0.0511,-3.597,0.0544,95.017,0.469,14
"15228",43,0.00949,0.654,155760,0.898,0.314,-3.966,0.0682,119.972,0.473,9
"15229",50,0.00645,0.451,169022,0.77,0.0956,-6.081,0.0872,141.957,0.483,20
"15230",53,9.92e-05,0.261,346573,0.938,0.301,-5.125,0.086,132.47,0.256,8
"15232",54,0.711,0.363,402797,0.591,0.132,-5.993,0.0329,93.946,0.115,106
"15233",55,0.0309,0.457,309307,0.93,0.135,-4.544,0.0673,139.819,0.294,13
"15234",68,0.000192,0.543,216733,0.952,0.38,-3.65,0.0668,107.942,0.591,14
"15236",66,0.000429,0.487,352427,0.949,0.231,-4.217,0.0798,110.02,0.406,9
"15237",51,0.00101,0.559,326800,0.92,0.0844,-8.706,0.101,119.996,0.383,22
"15238",51,0.000919,0.535,177213,0.854,0.0676,-6.519,0.0368,106.929,0.618,5
"15239",54,0.0025399999999999,0.306,232533,0.985,0.13,-6.687,0.0822,141.957,0.255,17
"15240",57,0.866,0.4,204040,0.306,0.374,-11.275,0.0411,93.202,0.564,24
"15241",57,0.00283,0.523,278298,0.896,0.183,-3.221,0.138,188.137,0.639,57
"15243",61,0.0842,0.53,291900,0.525,0.109,-6.767,0.0522,179.944,0.231,13
"15244",55,0.00336,0.68,207029,0.536,0.0884,-6.078,0.0384,105.917,0.959,14
"15246",42,0.142,0.756,198028,0.544,0.0901,-3.383,0.0499,141.957,0.694,9
"15247",55,0.000108,0.563,167667,0.946,0.118,-5.72,0.0548,149.966,0.652,15
"15248",52,0.711,0.518,242921,0.317,0.171,-7.595,0.0287,131.495,0.227,7
"15249",51,0.0293,0.554,233157,0.935,0.163,-3.621,0.0396,93.03,0.507,4
"15250",48,0.00011,0.539,301707,0.909,0.128,-5.741,0.0342,141.957,0.627,11
"15253",48,0.0012699999999999,0.41,183147,0.979,0.355,-5.021,0.106,146.741,0.478,13
"15254",55,0.825,0.454,247769,0.393,0.106,-11.715,0.0417,110.072,0.181,7
"15255",49,0.0218,0.598,286720,0.899,0.0814,-3.861,0.0424,124.061,0.403,26
"15256",46,0.369,0.597,185253,0.516,0.261,-5.437,0.0546,117.959,0.35,26
"15257",40,0.403,0.354,305023,0.514,0.232,-12.403,0.0453,90.031,0.123,12
"15258",53,0.224,0.744,220301,0.472,0.225,-9.757,0.111,104.063,0.281,15
"15259",59,0.0004559999999999,0.443,218093,0.993,0.307,-4.517,0.101,106.875,0.276,9
"15261",49,0.0071,0.751,193600,0.596,0.103,-4.594,0.0302,93.213,0.561,20
"15262",56,8.6e-05,0.223,233333,0.891,0.107,-4.918,0.133,170.6,0.558,21
